Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
MECOM_GNA11	SKCM	WOSecondM	2	65	3	209
NRAS_HRAS	SKCM	WithSecondM	1	1	2	2
NRAS_HRAS	SKCM	WOSecondM	42	36	53	131
NRAS_CTNNB1	SKCM	WithSecondM	1	2	5	8
NRAS_CTNNB1	SKCM	WOSecondM	42	35	50	125
NRAS_MAP2K1	SKCM	WithSecondM	2	2	3	11
NRAS_MAP2K1	SKCM	WOSecondM	41	35	52	122
NRAS_MECOM	SKCM	WithSecondM	1	2	1	3
NRAS_MECOM	SKCM	WOSecondM	42	35	54	130
NRAS_RB1	SKCM	WithSecondM	3	1	3	7
NRAS_RB1	SKCM	WOSecondM	40	36	52	126
NRAS_PPP6C	SKCM	WithSecondM	3	2	5	3
NRAS_PPP6C	SKCM	WOSecondM	40	35	50	130
NRAS_NF1	SKCM	WithSecondM	2	3	5	10
NRAS_NF1	SKCM	WOSecondM	41	34	50	123
NRAS_CDKN2A	SKCM	WithSecondM	7	6	9	15
NRAS_CDKN2A	SKCM	WOSecondM	36	31	46	118
NRAS_DDX3X	SKCM	WithSecondM	4	1	6	5
NRAS_DDX3X	SKCM	WOSecondM	39	36	49	128
NRAS_RQCD1	SKCM	WithSecondM	3	2	3	6
NRAS_RQCD1	SKCM	WOSecondM	40	35	52	127
NRAS_RAC1	SKCM	WithSecondM	4	4	3	6
NRAS_RAC1	SKCM	WOSecondM	39	33	52	127
NRAS_ARID2	SKCM	WithSecondM	7	4	7	11
NRAS_ARID2	SKCM	WOSecondM	36	33	48	122
NRAS_IDH1	SKCM	WithSecondM	2	1	8	8
NRAS_IDH1	SKCM	WOSecondM	41	36	47	125
NRAS_COL5A1	SKCM	WithSecondM	1	2	2	5
NRAS_COL5A1	SKCM	WOSecondM	42	35	53	128
NRAS_DACH1	SKCM	WithSecondM	1	2	1	3
NRAS_DACH1	SKCM	WOSecondM	42	35	54	130
NRAS_BRD7	SKCM	WithSecondM	1	2	3	2
NRAS_BRD7	SKCM	WOSecondM	42	35	52	131
NRAS_KRAS	SKCM	WithSecondM	1	1	1	6
NRAS_KRAS	SKCM	WOSecondM	42	36	54	127
NRAS_TP53	SKCM	WithSecondM	13	6	7	14
NRAS_TP53	SKCM	WOSecondM	30	31	48	119
NRAS_KIT	SKCM	WithSecondM	1	2	1	10
NRAS_KIT	SKCM	WOSecondM	42	35	54	123
NRAS_PTEN	SKCM	WithSecondM	1	7	7	11
NRAS_PTEN	SKCM	WOSecondM	42	30	48	122
NRAS_CDK4	SKCM	WithSecondM	3	4	2	5
NRAS_CDK4	SKCM	WOSecondM	40	33	53	128
NRAS_BRAF	SKCM	WithSecondM	2	28	4	93
NRAS_BRAF	SKCM	WOSecondM	41	9	51	40
NRAS_GNA11	SKCM	WithSecondM	2	1	1	3
NRAS_GNA11	SKCM	WOSecondM	41	36	54	130
RB1_HRAS	SKCM	WithSecondM	1	3	1	1
RB1_HRAS	SKCM	WOSecondM	6	78	5	163
RB1_CTNNB1	SKCM	WithSecondM	1	3	1	11
RB1_CTNNB1	SKCM	WOSecondM	6	78	5	153
RB1_MAP2K1	SKCM	WithSecondM	1	5	1	8
RB1_MAP2K1	SKCM	WOSecondM	6	76	5	156
RB1_MECOM	SKCM	WithSecondM	1	2	1	2
RB1_MECOM	SKCM	WOSecondM	6	79	5	162
RB1_NRAS	SKCM	WithSecondM	4	36	1	49
RB1_NRAS	SKCM	WOSecondM	3	45	5	115
RB1_PPP6C	SKCM	WithSecondM	2	6	1	8
RB1_PPP6C	SKCM	WOSecondM	5	75	5	156
RB1_NF1	SKCM	WithSecondM	1	4	3	8
RB1_NF1	SKCM	WOSecondM	6	77	3	156
RB1_CDKN2A	SKCM	WithSecondM	1	11	1	22
RB1_CDKN2A	SKCM	WOSecondM	6	70	5	142
RB1_DDX3X	SKCM	WithSecondM	1	7	1	7
RB1_DDX3X	SKCM	WOSecondM	6	74	5	157
RB1_RQCD1	SKCM	WithSecondM	2	4	1	4
RB1_RQCD1	SKCM	WOSecondM	5	77	5	160
RB1_RAC1	SKCM	WithSecondM	1	3	1	9
RB1_RAC1	SKCM	WOSecondM	6	78	5	155
RB1_ARID2	SKCM	WithSecondM	1	5	1	15
RB1_ARID2	SKCM	WOSecondM	6	76	5	149
RB1_IDH1	SKCM	WithSecondM	2	8	1	7
RB1_IDH1	SKCM	WOSecondM	5	73	5	157
RB1_COL5A1	SKCM	WithSecondM	1	3	1	4
RB1_COL5A1	SKCM	WOSecondM	6	78	5	160
RB1_DACH1	SKCM	WithSecondM	1	1	1	3
RB1_DACH1	SKCM	WOSecondM	6	80	5	161
RB1_BRD7	SKCM	WithSecondM	1	3	1	3
RB1_BRD7	SKCM	WOSecondM	6	78	5	161
RB1_KRAS	SKCM	WithSecondM	2	2	2	2
RB1_KRAS	SKCM	WOSecondM	5	79	4	162
RB1_TP53	SKCM	WithSecondM	2	12	1	16
RB1_TP53	SKCM	WOSecondM	5	69	5	148
RB1_KIT	SKCM	WithSecondM	1	4	2	6
RB1_KIT	SKCM	WOSecondM	6	77	4	158
RB1_PTEN	SKCM	WithSecondM	1	9	1	15
RB1_PTEN	SKCM	WOSecondM	6	72	5	149
RB1_CDK4	SKCM	WithSecondM	1	3	1	7
RB1_CDK4	SKCM	WOSecondM	6	78	5	157
RB1_BRAF	SKCM	WithSecondM	1	37	4	84
RB1_BRAF	SKCM	WOSecondM	6	44	2	80
RB1_GNA11	SKCM	WithSecondM	1	2	1	4
RB1_GNA11	SKCM	WOSecondM	6	79	5	160
PPP6C_HRAS	SKCM	WithSecondM	1	1	1	2
PPP6C_HRAS	SKCM	WOSecondM	1	22	4	147
PPP6C_CTNNB1	SKCM	WithSecondM	1	1	1	8
PPP6C_CTNNB1	SKCM	WOSecondM	1	22	4	141
PPP6C_MAP2K1	SKCM	WithSecondM	1	2	1	7
PPP6C_MAP2K1	SKCM	WOSecondM	1	21	4	142
PPP6C_MECOM	SKCM	WithSecondM	1	1	1	2
PPP6C_MECOM	SKCM	WOSecondM	1	22	4	147
PPP6C_NRAS	SKCM	WithSecondM	1	8	2	47
PPP6C_NRAS	SKCM	WOSecondM	1	15	3	102
PPP6C_RB1	SKCM	WithSecondM	1	2	2	9
PPP6C_RB1	SKCM	WOSecondM	1	21	3	140
PPP6C_NF1	SKCM	WithSecondM	1	1	1	12
PPP6C_NF1	SKCM	WOSecondM	1	22	4	137
PPP6C_CDKN2A	SKCM	WithSecondM	1	4	1	19
PPP6C_CDKN2A	SKCM	WOSecondM	1	19	4	130
PPP6C_DDX3X	SKCM	WithSecondM	1	2	2	8
PPP6C_DDX3X	SKCM	WOSecondM	1	21	3	141
PPP6C_RQCD1	SKCM	WithSecondM	1	1	1	6
PPP6C_RQCD1	SKCM	WOSecondM	1	22	4	143
PPP6C_RAC1	SKCM	WithSecondM	1	1	1	8
PPP6C_RAC1	SKCM	WOSecondM	1	22	4	141
PPP6C_ARID2	SKCM	WithSecondM	1	3	1	6
PPP6C_ARID2	SKCM	WOSecondM	1	20	4	143
PPP6C_IDH1	SKCM	WithSecondM	1	3	1	7
PPP6C_IDH1	SKCM	WOSecondM	1	20	4	142
PPP6C_COL5A1	SKCM	WithSecondM	1	1	1	3
PPP6C_COL5A1	SKCM	WOSecondM	1	22	4	146
PPP6C_DACH1	SKCM	WithSecondM	1	1	1	4
PPP6C_DACH1	SKCM	WOSecondM	1	22	4	145
PPP6C_BRD7	SKCM	WithSecondM	1	3	1	4
PPP6C_BRD7	SKCM	WOSecondM	1	20	4	145
PPP6C_KRAS	SKCM	WithSecondM	1	1	1	4
PPP6C_KRAS	SKCM	WOSecondM	1	22	4	145
PPP6C_TP53	SKCM	WithSecondM	1	5	1	17
PPP6C_TP53	SKCM	WOSecondM	1	18	4	132
PPP6C_KIT	SKCM	WithSecondM	1	1	1	13
PPP6C_KIT	SKCM	WOSecondM	1	22	4	136
PPP6C_PTEN	SKCM	WithSecondM	1	4	1	15
PPP6C_PTEN	SKCM	WOSecondM	1	19	4	134
PPP6C_CDK4	SKCM	WithSecondM	1	2	1	5
PPP6C_CDK4	SKCM	WOSecondM	1	21	4	144
PPP6C_BRAF	SKCM	WithSecondM	1	15	3	61
PPP6C_BRAF	SKCM	WOSecondM	1	8	2	88
PPP6C_GNA11	SKCM	WithSecondM	1	2	1	2
PPP6C_GNA11	SKCM	WOSecondM	1	21	4	147
NF1_HRAS	SKCM	WithSecondM	1	1	1	2
NF1_HRAS	SKCM	WOSecondM	3	52	11	196
NF1_CTNNB1	SKCM	WithSecondM	1	3	1	11
NF1_CTNNB1	SKCM	WOSecondM	3	50	11	187
NF1_MAP2K1	SKCM	WithSecondM	1	4	1	15
NF1_MAP2K1	SKCM	WOSecondM	3	49	11	183
NF1_MECOM	SKCM	WithSecondM	1	1	1	3
NF1_MECOM	SKCM	WOSecondM	3	52	11	195
NF1_NRAS	SKCM	WithSecondM	1	18	4	60
NF1_NRAS	SKCM	WOSecondM	3	35	8	138
NF1_RB1	SKCM	WithSecondM	1	2	3	8
NF1_RB1	SKCM	WOSecondM	3	51	9	190
NF1_PPP6C	SKCM	WithSecondM	1	3	1	9
NF1_PPP6C	SKCM	WOSecondM	3	50	11	189
NF1_CDKN2A	SKCM	WithSecondM	2	5	2	25
NF1_CDKN2A	SKCM	WOSecondM	2	48	10	173
NF1_DDX3X	SKCM	WithSecondM	1	6	2	9
NF1_DDX3X	SKCM	WOSecondM	3	47	10	189
NF1_RQCD1	SKCM	WithSecondM	1	7	1	5
NF1_RQCD1	SKCM	WOSecondM	3	46	11	193
NF1_RAC1	SKCM	WithSecondM	1	4	2	9
NF1_RAC1	SKCM	WOSecondM	3	49	10	189
NF1_ARID2	SKCM	WithSecondM	1	4	3	16
NF1_ARID2	SKCM	WOSecondM	3	49	9	182
NF1_IDH1	SKCM	WithSecondM	1	2	2	12
NF1_IDH1	SKCM	WOSecondM	3	51	10	186
NF1_COL5A1	SKCM	WithSecondM	1	1	1	5
NF1_COL5A1	SKCM	WOSecondM	3	52	11	193
NF1_DACH1	SKCM	WithSecondM	1	2	1	3
NF1_DACH1	SKCM	WOSecondM	3	51	11	195
NF1_BRD7	SKCM	WithSecondM	1	2	1	4
NF1_BRD7	SKCM	WOSecondM	3	51	11	194
NF1_KRAS	SKCM	WithSecondM	1	2	2	3
NF1_KRAS	SKCM	WOSecondM	3	51	10	195
NF1_TP53	SKCM	WithSecondM	2	4	3	14
NF1_TP53	SKCM	WOSecondM	2	49	9	184
NF1_KIT	SKCM	WithSecondM	2	1	2	10
NF1_KIT	SKCM	WOSecondM	2	52	10	188
NF1_PTEN	SKCM	WithSecondM	1	4	1	21
NF1_PTEN	SKCM	WOSecondM	3	49	11	177
NF1_CDK4	SKCM	WithSecondM	1	1	2	8
NF1_CDK4	SKCM	WOSecondM	3	52	10	190
NF1_BRAF	SKCM	WithSecondM	1	29	3	104
NF1_BRAF	SKCM	WOSecondM	3	24	9	94
NF1_GNA11	SKCM	WithSecondM	1	2	1	4
NF1_GNA11	SKCM	WOSecondM	3	51	11	194
CDKN2A_HRAS	SKCM	WithSecondM	1	1	1	1
CDKN2A_HRAS	SKCM	WOSecondM	2	8	4	66
CDKN2A_CTNNB1	SKCM	WithSecondM	1	3	1	1
CDKN2A_CTNNB1	SKCM	WOSecondM	2	6	4	66
CDKN2A_MAP2K1	SKCM	WithSecondM	1	1	2	4
CDKN2A_MAP2K1	SKCM	WOSecondM	2	8	3	63
CDKN2A_MECOM	SKCM	WithSecondM	1	1	1	2
CDKN2A_MECOM	SKCM	WOSecondM	2	8	4	65
CDKN2A_NRAS	SKCM	WithSecondM	1	3	1	22
CDKN2A_NRAS	SKCM	WOSecondM	2	6	4	45
CDKN2A_RB1	SKCM	WithSecondM	1	1	1	9
CDKN2A_RB1	SKCM	WOSecondM	2	8	4	58
CDKN2A_PPP6C	SKCM	WithSecondM	1	1	1	4
CDKN2A_PPP6C	SKCM	WOSecondM	2	8	4	63
CDKN2A_NF1	SKCM	WithSecondM	1	2	1	5
CDKN2A_NF1	SKCM	WOSecondM	2	7	4	62
CDKN2A_DDX3X	SKCM	WithSecondM	1	2	1	7
CDKN2A_DDX3X	SKCM	WOSecondM	2	7	4	60
CDKN2A_RQCD1	SKCM	WithSecondM	1	1	1	3
CDKN2A_RQCD1	SKCM	WOSecondM	2	8	4	64
CDKN2A_RAC1	SKCM	WithSecondM	1	2	1	5
CDKN2A_RAC1	SKCM	WOSecondM	2	7	4	62
CDKN2A_ARID2	SKCM	WithSecondM	1	1	1	6
CDKN2A_ARID2	SKCM	WOSecondM	2	8	4	61
CDKN2A_IDH1	SKCM	WithSecondM	1	1	1	4
CDKN2A_IDH1	SKCM	WOSecondM	2	8	4	63
CDKN2A_COL5A1	SKCM	WithSecondM	1	1	1	2
CDKN2A_COL5A1	SKCM	WOSecondM	2	8	4	65
CDKN2A_DACH1	SKCM	WithSecondM	1	1	1	2
CDKN2A_DACH1	SKCM	WOSecondM	2	8	4	65
CDKN2A_BRD7	SKCM	WithSecondM	1	2	1	2
CDKN2A_BRD7	SKCM	WOSecondM	2	7	4	65
CDKN2A_KRAS	SKCM	WithSecondM	1	1	1	3
CDKN2A_KRAS	SKCM	WOSecondM	2	8	4	64
CDKN2A_TP53	SKCM	WithSecondM	2	3	1	12
CDKN2A_TP53	SKCM	WOSecondM	1	6	4	55
CDKN2A_KIT	SKCM	WithSecondM	1	2	1	7
CDKN2A_KIT	SKCM	WOSecondM	2	7	4	60
CDKN2A_PTEN	SKCM	WithSecondM	2	1	1	5
CDKN2A_PTEN	SKCM	WOSecondM	1	8	4	62
CDKN2A_CDK4	SKCM	WithSecondM	1	2	1	3
CDKN2A_CDK4	SKCM	WOSecondM	2	7	4	64
CDKN2A_BRAF	SKCM	WithSecondM	2	5	4	24
CDKN2A_BRAF	SKCM	WOSecondM	1	4	1	43
CDKN2A_GNA11	SKCM	WithSecondM	1	2	1	2
CDKN2A_GNA11	SKCM	WOSecondM	2	7	4	65
DDX3X_HRAS	SKCM	WithSecondM	1	1	1	2
DDX3X_HRAS	SKCM	WOSecondM	5	46	8	198
DDX3X_CTNNB1	SKCM	WithSecondM	1	1	1	12
DDX3X_CTNNB1	SKCM	WOSecondM	5	46	8	188
DDX3X_MAP2K1	SKCM	WithSecondM	2	4	1	10
DDX3X_MAP2K1	SKCM	WOSecondM	4	43	8	190
DDX3X_MECOM	SKCM	WithSecondM	1	1	2	3
DDX3X_MECOM	SKCM	WOSecondM	5	46	7	197
DDX3X_NRAS	SKCM	WithSecondM	5	15	5	57
DDX3X_NRAS	SKCM	WOSecondM	1	32	4	143
DDX3X_RB1	SKCM	WithSecondM	1	3	1	9
DDX3X_RB1	SKCM	WOSecondM	5	44	8	191
DDX3X_PPP6C	SKCM	WithSecondM	1	1	2	13
DDX3X_PPP6C	SKCM	WOSecondM	5	46	7	187
DDX3X_NF1	SKCM	WithSecondM	1	7	2	11
DDX3X_NF1	SKCM	WOSecondM	5	40	7	189
DDX3X_CDKN2A	SKCM	WithSecondM	1	4	1	29
DDX3X_CDKN2A	SKCM	WOSecondM	5	43	8	171
DDX3X_RQCD1	SKCM	WithSecondM	1	4	1	7
DDX3X_RQCD1	SKCM	WOSecondM	5	43	8	193
DDX3X_RAC1	SKCM	WithSecondM	1	6	1	10
