Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
ATRX_TCF12	GBM	WithSecondM	1	1	1	3
ATRX_TCF12	GBM	WOSecondM	2	10	7	153
ATRX_LZTR1	GBM	WithSecondM	1	2	1	3
ATRX_LZTR1	GBM	WOSecondM	2	9	7	153
LZTR1_PDGFRA	GBM	WithSecondM	1	2	1	5
LZTR1_PDGFRA	GBM	WOSecondM	1	15	2	136
LZTR1_TP53	GBM	WithSecondM	1	7	1	26
LZTR1_TP53	GBM	WOSecondM	1	10	2	115
LZTR1_PIK3R1	GBM	WithSecondM	1	1	1	14
LZTR1_PIK3R1	GBM	WOSecondM	1	16	2	127
LZTR1_STAG2	GBM	WithSecondM	1	2	1	7
LZTR1_STAG2	GBM	WOSecondM	1	15	2	134
LZTR1_PIK3CA	GBM	WithSecondM	1	1	1	15
LZTR1_PIK3CA	GBM	WOSecondM	1	16	2	126
LZTR1_IDH1	GBM	WithSecondM	1	2	1	5
LZTR1_IDH1	GBM	WOSecondM	1	15	2	136
LZTR1_EGFR	GBM	WithSecondM	1	1	1	32
LZTR1_EGFR	GBM	WOSecondM	1	16	2	109
LZTR1_RB1	GBM	WithSecondM	1	1	1	9
LZTR1_RB1	GBM	WOSecondM	1	16	2	132
LZTR1_SPTA1	GBM	WithSecondM	1	2	1	12
LZTR1_SPTA1	GBM	WOSecondM	1	15	2	129
LZTR1_PTEN	GBM	WithSecondM	1	4	2	45
LZTR1_PTEN	GBM	WOSecondM	1	13	1	96
LZTR1_BRAF	GBM	WithSecondM	1	1	1	2
LZTR1_BRAF	GBM	WOSecondM	1	16	2	139
LZTR1_NF1	GBM	WithSecondM	1	1	1	10
LZTR1_NF1	GBM	WOSecondM	1	16	2	131
LZTR1_TCF12	GBM	WithSecondM	1	1	1	2
LZTR1_TCF12	GBM	WOSecondM	1	16	2	139
LZTR1_ATRX	GBM	WithSecondM	1	2	1	6
LZTR1_ATRX	GBM	WOSecondM	1	15	2	135
