Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
TP53_KRAS	LUAD	WithSecondM	30	34	11	52
TP53_KRAS	LUAD	WOSecondM	84	51	41	75
KEAP1_CTNNB1	LUAD	WithSecondM	3	4	2	2
KEAP1_CTNNB1	LUAD	WOSecondM	39	156	8	178
KEAP1_MGA	LUAD	WithSecondM	2	7	1	5
KEAP1_MGA	LUAD	WOSecondM	40	153	9	175
KEAP1_CDKN2A	LUAD	WithSecondM	3	5	1	7
KEAP1_CDKN2A	LUAD	WOSecondM	39	155	9	173
KEAP1_TP53	LUAD	WithSecondM	13	81	4	73
KEAP1_TP53	LUAD	WOSecondM	29	79	6	107
KEAP1_U2AF1	LUAD	WithSecondM	1	7	1	7
KEAP1_U2AF1	LUAD	WOSecondM	41	153	9	173
KEAP1_PIK3CA	LUAD	WithSecondM	1	5	1	11
KEAP1_PIK3CA	LUAD	WOSecondM	41	155	9	169
KEAP1_ARID1A	LUAD	WithSecondM	3	8	1	4
KEAP1_ARID1A	LUAD	WOSecondM	39	152	9	176
KEAP1_ATM	LUAD	WithSecondM	3	16	1	6
KEAP1_ATM	LUAD	WOSecondM	39	144	9	174
KEAP1_EGFR	LUAD	WithSecondM	1	27	1	25
KEAP1_EGFR	LUAD	WOSecondM	41	133	9	155
KEAP1_RB1	LUAD	WithSecondM	1	4	1	11
KEAP1_RB1	LUAD	WOSecondM	41	156	9	169
KEAP1_STK11	LUAD	WithSecondM	10	38	6	12
KEAP1_STK11	LUAD	WOSecondM	32	122	4	168
KEAP1_MET	LUAD	WithSecondM	1	5	1	6
KEAP1_MET	LUAD	WOSecondM	41	155	9	174
KEAP1_RBM10	LUAD	WithSecondM	1	8	3	15
KEAP1_RBM10	LUAD	WOSecondM	41	152	7	165
KEAP1_BRAF	LUAD	WithSecondM	3	8	1	19
KEAP1_BRAF	LUAD	WOSecondM	39	152	9	161
KEAP1_NF1	LUAD	WithSecondM	1	9	3	18
KEAP1_NF1	LUAD	WOSecondM	41	151	7	162
KEAP1_SETD2	LUAD	WithSecondM	3	8	2	14
KEAP1_SETD2	LUAD	WOSecondM	39	152	8	166
KEAP1_SMARCA4	LUAD	WithSecondM	6	10	1	7
KEAP1_SMARCA4	LUAD	WOSecondM	36	150	9	173
