Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
ACVR2A_CDKN2A	LIHC	WithSecondM	1	2	1	8
ACVR2A_CDKN2A	LIHC	WOSecondM	2	40	6	246
ACVR2A_ARID2	LIHC	WithSecondM	1	3	1	13
ACVR2A_ARID2	LIHC	WOSecondM	2	39	6	241
ACVR2A_IDH1	LIHC	WithSecondM	1	2	1	5
ACVR2A_IDH1	LIHC	WOSecondM	2	40	6	249
ACVR2A_HIST1H1E	LIHC	WithSecondM	1	2	1	4
ACVR2A_HIST1H1E	LIHC	WOSecondM	2	40	6	250
ACVR2A_BRD7	LIHC	WithSecondM	1	2	1	9
ACVR2A_BRD7	LIHC	WOSecondM	2	40	6	245
ACVR2A_KRAS	LIHC	WithSecondM	1	1	1	6
ACVR2A_KRAS	LIHC	WOSecondM	2	41	6	248
ACVR2A_RPS6KA3	LIHC	WithSecondM	1	2	1	13
ACVR2A_RPS6KA3	LIHC	WOSecondM	2	40	6	241
ACVR2A_TP53	LIHC	WithSecondM	1	11	2	70
ACVR2A_TP53	LIHC	WOSecondM	2	31	5	184
ACVR2A_GNAS	LIHC	WithSecondM	1	1	1	5
ACVR2A_GNAS	LIHC	WOSecondM	2	41	6	249
ACVR2A_WHSC1	LIHC	WithSecondM	1	2	1	5
ACVR2A_WHSC1	LIHC	WOSecondM	2	40	6	249
ACVR2A_SMARCA4	LIHC	WithSecondM	1	3	1	6
ACVR2A_SMARCA4	LIHC	WOSecondM	2	39	6	248
ACVR2A_ALB	LIHC	WithSecondM	2	6	3	34
ACVR2A_ALB	LIHC	WOSecondM	1	36	4	220
ACVR2A_CREB3L3	LIHC	WithSecondM	1	3	1	5
ACVR2A_CREB3L3	LIHC	WOSecondM	2	39	6	249
ACVR2A_PIK3CA	LIHC	WithSecondM	1	1	1	8
ACVR2A_PIK3CA	LIHC	WOSecondM	2	41	6	246
ACVR2A_BAP1	LIHC	WithSecondM	1	6	1	11
ACVR2A_BAP1	LIHC	WOSecondM	2	36	6	243
ACVR2A_LZTR1	LIHC	WithSecondM	1	4	1	9
ACVR2A_LZTR1	LIHC	WOSecondM	2	38	6	245
ACVR2A_ARID1A	LIHC	WithSecondM	1	2	1	26
ACVR2A_ARID1A	LIHC	WOSecondM	2	40	6	228
EEF1A1_NUP133	LIHC	WithSecondM	1	2	1	7
EEF1A1_NUP133	LIHC	WOSecondM	2	60	9	187
EEF1A1_ACVR2A	LIHC	WithSecondM	1	4	2	3
EEF1A1_ACVR2A	LIHC	WOSecondM	2	58	8	191
EEF1A1_CDKN1A	LIHC	WithSecondM	1	3	1	2
EEF1A1_CDKN1A	LIHC	WOSecondM	2	59	9	192
