Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
AKT1_BRCA1	BRCA	WOSecondM	8	113	15	461
AKT1_CDKN1B	BRCA	WithSecondM	1	1	2	6
AKT1_CDKN1B	BRCA	WOSecondM	9	117	14	461
AKT1_SF3B1	BRCA	WithSecondM	1	5	2	10
AKT1_SF3B1	BRCA	WOSecondM	9	113	14	457
AKT1_MAP2K4	BRCA	WithSecondM	2	4	3	18
AKT1_MAP2K4	BRCA	WOSecondM	8	114	13	449
AKT1_NCOR1	BRCA	WithSecondM	2	7	1	11
AKT1_NCOR1	BRCA	WOSecondM	8	111	15	456
AKT1_GPS2	BRCA	WithSecondM	2	3	1	5
AKT1_GPS2	BRCA	WOSecondM	8	115	15	462
AKT1_CHD4	BRCA	WithSecondM	1	1	1	9
AKT1_CHD4	BRCA	WOSecondM	9	117	15	458
AKT1_PIK3CA	BRCA	WithSecondM	1	41	2	171
AKT1_PIK3CA	BRCA	WOSecondM	9	77	14	296
AKT1_MAP3K1	BRCA	WithSecondM	1	5	1	46
AKT1_MAP3K1	BRCA	WOSecondM	9	113	15	421
AKT1_RB1	BRCA	WithSecondM	1	4	1	8
AKT1_RB1	BRCA	WOSecondM	9	114	15	459
AKT1_CBFB	BRCA	WithSecondM	1	4	1	4
AKT1_CBFB	BRCA	WOSecondM	9	114	15	463
AKT1_NF1	BRCA	WithSecondM	1	1	1	11
AKT1_NF1	BRCA	WOSecondM	9	117	15	456
AKT1_CDH1	BRCA	WithSecondM	2	7	2	68
AKT1_CDH1	BRCA	WOSecondM	8	111	14	399
AKT1_FBXW7	BRCA	WithSecondM	1	1	1	3
AKT1_FBXW7	BRCA	WOSecondM	9	117	15	464
AKT1_KMT2C	BRCA	WithSecondM	2	3	3	32
AKT1_KMT2C	BRCA	WOSecondM	8	115	13	435
AKT1_PIK3R1	BRCA	WithSecondM	1	4	1	11
AKT1_PIK3R1	BRCA	WOSecondM	9	114	15	456
AKT1_GATA3	BRCA	WithSecondM	4	13	7	53
AKT1_GATA3	BRCA	WOSecondM	6	105	9	414
AKT1_KRAS	BRCA	WithSecondM	1	1	1	5
AKT1_KRAS	BRCA	WOSecondM	9	117	15	462
AKT1_TP53	BRCA	WithSecondM	1	54	3	85
AKT1_TP53	BRCA	WOSecondM	9	64	13	382
AKT1_TBX3	BRCA	WithSecondM	1	1	2	13
AKT1_TBX3	BRCA	WOSecondM	9	117	14	454
AKT1_ERBB2	BRCA	WithSecondM	1	1	1	10
AKT1_ERBB2	BRCA	WOSecondM	9	117	15	457
AKT1_ARID1A	BRCA	WithSecondM	1	3	1	12
AKT1_ARID1A	BRCA	WOSecondM	9	115	15	455
AKT1_CASP8	BRCA	WithSecondM	2	3	2	5
AKT1_CASP8	BRCA	WOSecondM	8	115	14	462
AKT1_FOXA1	BRCA	WithSecondM	1	1	1	21
AKT1_FOXA1	BRCA	WOSecondM	9	117	15	446
AKT1_PTEN	BRCA	WithSecondM	1	5	1	23
AKT1_PTEN	BRCA	WOSecondM	9	113	15	444
AKT1_RUNX1	BRCA	WithSecondM	2	5	1	17
AKT1_RUNX1	BRCA	WOSecondM	8	113	15	450
AKT1_CTCF	BRCA	WithSecondM	3	1	3	8
