Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
HUWE1_EPHA2	HNSC	WOSecondM	6	119	29	281
HUWE1_KEAP1	HNSC	WithSecondM	1	6	3	10
HUWE1_KEAP1	HNSC	WOSecondM	6	116	31	285
HUWE1_NFE2L2	HNSC	WithSecondM	1	8	2	16
HUWE1_NFE2L2	HNSC	WOSecondM	6	114	32	279
HUWE1_MYH9	HNSC	WithSecondM	1	5	4	12
HUWE1_MYH9	HNSC	WOSecondM	6	117	30	283
HUWE1_RB1	HNSC	WithSecondM	1	5	2	6
HUWE1_RB1	HNSC	WOSecondM	6	117	32	289
HUWE1_FGFR3	HNSC	WithSecondM	1	3	1	7
HUWE1_FGFR3	HNSC	WOSecondM	6	119	33	288
HUWE1_MAPK1	HNSC	WithSecondM	1	2	4	5
HUWE1_MAPK1	HNSC	WOSecondM	6	120	30	290
HUWE1_KDM6A	HNSC	WithSecondM	1	4	1	13
HUWE1_KDM6A	HNSC	WOSecondM	6	118	33	282
HUWE1_AJUBA	HNSC	WithSecondM	2	8	3	17
HUWE1_AJUBA	HNSC	WOSecondM	5	114	31	278
HUWE1_HRAS	HNSC	WithSecondM	1	1	6	23
HUWE1_HRAS	HNSC	WOSecondM	6	121	28	272
HUWE1_FBXW7	HNSC	WithSecondM	2	8	2	21
HUWE1_FBXW7	HNSC	WOSecondM	5	114	32	274
HUWE1_TGFBR2	HNSC	WithSecondM	1	2	7	16
HUWE1_TGFBR2	HNSC	WOSecondM	6	120	27	279
HUWE1_CDKN2A	HNSC	WithSecondM	1	26	5	63
HUWE1_CDKN2A	HNSC	WOSecondM	6	96	29	232
HUWE1_KMT2D	HNSC	WithSecondM	1	22	3	43
HUWE1_KMT2D	HNSC	WOSecondM	6	100	31	252
HUWE1_ARID2	HNSC	WithSecondM	1	3	4	11
HUWE1_ARID2	HNSC	WOSecondM	6	119	30	284
HUWE1_ZNF750	HNSC	WithSecondM	1	3	4	11
HUWE1_ZNF750	HNSC	WOSecondM	6	119	30	284
HUWE1_RHOA	HNSC	WithSecondM	2	3	1	7
HUWE1_RHOA	HNSC	WOSecondM	5	119	33	288
HUWE1_EP300	HNSC	WithSecondM	2	6	6	22
HUWE1_EP300	HNSC	WOSecondM	5	116	28	273
HUWE1_RASA1	HNSC	WithSecondM	1	7	2	9
HUWE1_RASA1	HNSC	WOSecondM	6	115	32	286
HUWE1_TP53	HNSC	WithSecondM	3	99	16	187
HUWE1_TP53	HNSC	WOSecondM	4	23	18	108
HUWE1_NOTCH1	HNSC	WithSecondM	2	20	10	50
HUWE1_NOTCH1	HNSC	WOSecondM	5	102	24	245
HUWE1_CASP8	HNSC	WithSecondM	1	4	12	35
HUWE1_CASP8	HNSC	WOSecondM	6	118	22	260
HUWE1_PTEN	HNSC	WithSecondM	1	3	2	7
HUWE1_PTEN	HNSC	WOSecondM	6	119	32	288
HUWE1_FAT1	HNSC	WithSecondM	1	23	9	65
HUWE1_FAT1	HNSC	WOSecondM	6	99	25	230
HUWE1_CYLD	HNSC	WithSecondM	1	4	1	8
HUWE1_CYLD	HNSC	WOSecondM	6	118	33	287
HUWE1_RAC1	HNSC	WithSecondM	1	3	2	11
HUWE1_RAC1	HNSC	WOSecondM	6	119	32	284
HUWE1_PIK3CA	HNSC	WithSecondM	2	16	6	53
